Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
LGE,LG K40,mh4x,1832MB,Phone,Qualcomm SDM450,720x1440,280,armeabi-v7a;armeabi,28,3.2
LGE,LG Solo LTE,mh4,1863-1865MB,Phone,Qualcomm SDM450,720x1440,280,armeabi-v7a;armeabi,27;28,3.2
LGE,V20,elsa,3777-3782MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,24;26;28,3.2
LGE,LM-X420,mmh4,2833-2846MB,Phone,Mediatek MT6762,720x1440,280,armeabi-v7a;armeabi,27;28,3.2
LGE,LG K40S,mmh55lm,1832MB,Phone,Mediatek MT6762,720x1560,280,armeabi-v7a;armeabi,28,3.2
LGE,X4+,cv3n,1868-1871MB,Phone,Mediatek MT6750,720x1280,320,armeabi-v7a;armeabi,25;27,3.0
LGE,LG Stylo 4,cv7a,1858-2880MB,Phone,Qualcomm SDM450,1080x2160,420,armeabi-v7a;armeabi,27;28,3.2
LGE,LG Stylo 4,mcv7a,1830MB,Phone,Mediatek MT6750,1080x2160,420,armeabi-v7a;armeabi,27,3.2
LGE,JOJO,L-02K,3722MB,Phone,Qualcomm MSM8998,1440x2880,640,arm64-v8a;armeabi-v7a;armeabi,26,3.2
LGE,K50S,mmh45lm,2849MB,Phone,Mediatek MT6762,720x1560,280,armeabi-v7a;armeabi,28,3.2
LGE,LG K20,lv517n,1372-1373MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,24;27,3.0
LGE,W30 Pro,Neo4LM,3579MB,Phone,Qualcomm SDM632,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
LGE,LG X Venture,lv9n,1867-1874MB,Phone,Qualcomm MSM8940,1080x1920,480,armeabi-v7a;armeabi,24;27,3.2
LGE,LG X Venture,lv9,1875MB,Phone,Qualcomm MSM8940,1080x1920,480,armeabi-v7a;armeabi,24,3.2
LGE,LG K8 (2017),lv3n,1379-1380MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,24;27,3.0
LGE,LG K8 (2017),mlv3,1414MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3.0
LGE,LG X5,mlv7n,1860-1877MB,Phone,Mediatek MT6750,720x1280,280;320,armeabi-v7a;armeabi,24;26;27;28,3.2
LGE,LG G8 ThinQ™,alphaamz,5472MB,Phone,Qualcomm SDM855,1080x2340,420,arm64-v8a;armeabi-v7a;armeabi,28,3.2
LGE,LG G8 ThinQ™,alphalm,5472MB,Phone,Qualcomm SM8150,1080x2340,420,arm64-v8a;armeabi-v7a;armeabi,28,3.2
LGE,LG G8 ThinQ™,alphaplus,5472-5474MB,Phone,Qualcomm SM8150,1080x2340,420,arm64-v8a;armeabi-v7a;armeabi,28;29,3.2
LGE,LG Tribute Royal,mmh5lm,1844MB,Phone,Mediatek MT6762,720x1440,280,armeabi-v7a;armeabi,28,3.2
LGE,LG Q6,mhn,2880-2891MB,Phone,Qualcomm MSM8940,1080x2004;1080x2160,480,armeabi-v7a;armeabi,25;27,3.2
LGE,LG Q6,mh,2880-2891MB,Phone,Qualcomm MSM8940,1080x2004;1080x2160,480,armeabi-v7a;armeabi,25;27,3.2
LGE,LG Watch Style,angelfish,450-451MB,Wearable,Qualcomm APQ8009,360x360,300,armeabi-v7a;armeabi,25;26,3.0
LGE,Nexus 5X,bullhead,1813-1814MB,Phone,Qualcomm MSM8992,1080x1920,420,arm64-v8a;armeabi-v7a;armeabi,23;24;25;26;27,3.1;3.2
LGE,LG it,cv1,1873-2892MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,25;27;28,3.0
LGE,LG Xpression Plus 2,mmh4x,1828MB,Phone,Mediatek MT6762,720x1440,280,armeabi-v7a;armeabi,28,3.2
LGE,LM-X520,mmh4p-pr,2845MB,Phone,Mediatek MT6762,720x1520,280,armeabi-v7a;armeabi,28,3.2
LGE,LG K8 (2017) Dual,lv3,1379-1380MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,24;27,3.0
LGE,LG G7 fit,falcon,3764-3773MB,Phone,Qualcomm MSM8996Pro,1080x2340,420,arm64-v8a;armeabi-v7a;armeabi,27;28,3.2
LGE,LG Q7+,cv5a,3636-3642MB,Phone,Qualcomm SDM450,1080x2160,420,armeabi-v7a;armeabi,27;28,3.2
LGE,LG Q7+,cv5an,2874-2879MB,Phone,Qualcomm SDM450,1080x2160,420,armeabi-v7a;armeabi,27;28,3.2
LGE,LM-X120,mmh6lm,887MB,Phone,Mediatek MT6739WW,480x960,240,armeabi-v7a;armeabi,28,3.2
LGE,LG G6,lucye,3777-3782MB,Phone,Qualcomm MSM8996,1440x2672;1440x2880,640,arm64-v8a;armeabi-v7a;armeabi,24;26;28,3.2
LGE,L-03K,L-03K,3642-3643MB,Phone,Qualcomm SDM450,1080x2160,480,armeabi-v7a;armeabi,27;28,3.2
LGE,LG Stylo 5,cv7as,2811MB,Phone,Qualcomm SDM450,1080x2160,420,arm64-v8a;armeabi-v7a;armeabi,28,3.2
LGE,LG style2,L-01L,3565MB,Phone,Qualcomm SDM450,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,28,3.2
LGE,LG Stylo 5+,cv7as-pr,2811MB,Phone,Qualcomm SDM450,1080x2160,420,arm64-v8a;armeabi-v7a;armeabi,28,3.2
LGE,V20 PRO,L-01J,3777-3781MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2
LGE,LG G7 ThinQ,judyln,3646-3654MB,Phone,Qualcomm SDM845,1440x3120,560,arm64-v8a;armeabi-v7a;armeabi,26;28,3.2
LGE,V30+,L-01K,3717-3722MB,Phone,Qualcomm MSM8998,1440x2880,640,arm64-v8a;armeabi-v7a;armeabi,26;28,3.2
LGE,LG V35 ThinQ,judyp,5645-5652MB,Phone,Qualcomm SDM845,1440x2880,560,arm64-v8a;armeabi-v7a;armeabi,26;28,3.2
LGE,Aristo 4+,mh5lm,1860MB,Phone,Qualcomm MSM8917,720x1440,280,armeabi-v7a;armeabi,28,3.0
LGE,W10,LMX130IM,2800MB,Phone,Mediatek MT6762,720x1500,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
LGE,W30,LM-X440ZM,2835MB,Phone,Mediatek MT6762,720x1520,280,arm64-v8a;armeabi-v7a;armeabi,28,3.2
LGE,W30,LM-X440IM,2835MB,Phone,Mediatek MT6762,720x1520,280,arm64-v8a;armeabi-v7a;armeabi,28,3.2
LGE,LG G7 One,phoenix_sprout,3695-3718MB,Phone,Qualcomm MSM8998,1440x3120,560,arm64-v8a;armeabi-v7a;armeabi,27;28;29,3.2
LGE,G8s,betalm,5472MB,Phone,Qualcomm SM8150,1080x2248,420,arm64-v8a;armeabi-v7a;armeabi,28,3.2
LGE,LG K10 (2017),mlv5n,1859-1867MB,Phone,Mediatek MT6755,720x1280,320,armeabi-v7a;armeabi,24;27,3.2
LGE,LG K10 (2017),mlv5,1859-1867MB,Phone,Mediatek MT6755,720x1280,320,armeabi-v7a;armeabi,24;27,3.2
LGE,V40 ThinQ,judypn,5641-5652MB,Phone,Qualcomm SDM845,1080x2340,420,arm64-v8a;armeabi-v7a;armeabi,27;28,3.2
LGE,LG Q7,mcv5a,2854-2858MB,Phone,Mediatek MT6750,1080x2160,420,armeabi-v7a;armeabi,27;28,3.2
LGE,LG G Pad IV 8.0 FHD LTE,tf840,1873-1882MB,Tablet,Qualcomm MSM8940,1200x1920,320,armeabi-v7a;armeabi,24;27,3.2
LGE,LG Watch Sport,swordfish,653-654MB,Wearable,Qualcomm MSM8909,480x480,340,armeabi-v7a;armeabi,25;26,3.0
